id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
1014		Plantae	Tracheophyta	Spermatopsida	Asparagales	Orchidaceae	Aceras anthropophorum	species	accepted
1015		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Achillea	genus	accepted
1016		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Achillea millefolium	species	accepted
1017		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Achillea ptarmica	species	accepted
1018		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Aconitum	genus	accepted
1019		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Aconitum napellus	species	accepted
1020		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Aconitum vulparia	species	accepted
1021		Plantae	Tracheophyta	Spermatopsida	Alismatales	Araceae	Acorus	genus	accepted
1022		Plantae	Tracheophyta	Spermatopsida	Alismatales	Araceae	Acorus calamus	species	accepted
1023		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Actaea	genus	accepted
1024		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Actaea spicata	species	accepted
1025		Plantae	Tracheophyta	Spermatopsida	Ericales	Actinidiaceae	Actinidia	genus	accepted
1027		Plantae	Tracheophyta	Spermatopsida	Ericales	Actinidiaceae	Actinidia deliciosa	species	accepted
1028		Plantae	Tracheophyta	Spermatopsida	Ericales	Actinidiaceae	Actinidiaceae	family	accepted
1029		Plantae	Tracheophyta	Pteropsida	Filicales	Pteridaceae	Adiantum	genus	accepted
1030		Plantae	Tracheophyta	Pteropsida	Filicales	Pteridaceae	Adiantum capillus-veneris	species	accepted
1031		Plantae	Tracheophyta	Pteropsida	Filicales	Pteridaceae	Adiantum diaphanum	species	accepted
1032		Plantae	Tracheophyta	Pteropsida	Filicales	Pteridaceae	Adiantum raddianum	species	accepted
1033		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Adonis	genus	accepted
1034		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Adonis aestivalis	species	accepted
1035		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Adonis annua	species	accepted
1036		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Adonis flammea	species	accepted
1037		Plantae	Tracheophyta	Spermatopsida	Ranunculales	Ranunculaceae	Adonis vernalis	species	accepted
1038		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Adoxaceae	Adoxa	genus	accepted
1039		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Adoxaceae	Adoxa moschatellina	species	accepted
1040		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Adoxaceae	Adoxaceae	family	accepted
1041		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Aegopodium	genus	accepted
1042		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Aegopodium podagraria	species	accepted
